# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    4.2713567839    -0.3975379481    -0.0798451320    -0.2866375461    -0.3975379481    -0.3975379481    -0.1446939571    -0.1750865929    -0.3240351449    -0.1079838918    -0.2168405414
    4.2914572864    -0.3796091411    -0.0724518279    -0.2690899625    -0.3796091411    -0.3796091411    -0.1359644937    -0.1640030646    -0.3059930489    -0.1014266904    -0.2041826478
    4.3115577889    -0.3617417430    -0.0654634058    -0.2538781378    -0.3617417430    -0.3617417430    -0.1276363455    -0.1534102745    -0.2881273243    -0.0951839587    -0.1920100246
    4.3316582915    -0.3439443230    -0.0588601331    -0.2390978158    -0.3439443230    -0.3439443230    -0.1196970118    -0.1432990870    -0.2705651098    -0.0892430645    -0.1803263819
    4.3517587940    -0.3261919566    -0.0526227574    -0.2247871945    -0.3261919566    -0.3261919566    -0.1121333883    -0.1336581826    -0.2534053663    -0.0835915075    -0.1691308305
    4.3718592965    -0.3084468887    -0.0467325934    -0.2109732367    -0.3084468887    -0.3084468887    -0.1049319795    -0.1244745712    -0.2367235270    -0.0782169866    -0.1584187536
    4.3919597990    -0.2908531488    -0.0411715876    -0.1976735807    -0.2908531488    -0.2908531488    -0.0980790742    -0.1157340208    -0.2205754581    -0.0731074537    -0.1481825466
    4.4120603015    -0.2735356522    -0.0359231697    -0.1848981702    -0.2735356522    -0.2735356522    -0.0915608909    -0.1074214159    -0.2050008257    -0.0682511558    -0.1384122436
    4.4321608040    -0.2565923194    -0.0315841201    -0.1726506418    -0.2565923194    -0.2565923194    -0.0853636968    -0.0995210547    -0.1900259534    -0.0636366667    -0.1290960455
    4.4522613065    -0.2400984457    -0.0294168508    -0.1609295039    -0.2400984457    -0.2400984457    -0.0794739038    -0.0920168933    -0.1756662422    -0.0592529112    -0.1202207640
    4.4723618090    -0.2241104341    -0.0273579819    -0.1497291352    -0.2241104341    -0.2241104341    -0.0738781459    -0.0848927478    -0.1619282149    -0.0550891814    -0.1117721935
    4.4924623116    -0.2086689796    -0.0254023102    -0.1390406286    -0.2086689796    -0.2086689796    -0.0685633409    -0.0781324566    -0.1488112402    -0.0511351480    -0.1037354216
    4.5125628141    -0.1938017802    -0.0235448590    -0.1288525025    -0.1938017802    -0.1938017802    -0.0635167372    -0.0717200125    -0.1363089810    -0.0473808660    -0.0960950861
    4.5326633166    -0.1795258411    -0.0217808721    -0.1191512979    -0.1795258411    -0.1795258411    -0.0587259502    -0.0656396674    -0.1244106094    -0.0438167768    -0.0888355870
    4.5527638191    -0.1658494278    -0.0201058063    -0.1099220779    -0.1658494278    -0.1658494278    -0.0541789887    -0.0598760143    -0.1131018208    -0.0404337071    -0.0819412607
    4.5728643216    -0.1527737195    -0.0185153247    -0.1011488439    -0.1527737195    -0.1527737195    -0.0498642729    -0.0544140508    -0.1023656784    -0.0372228645    -0.0753965207
    4.5929648241    -0.1402942031    -0.0170052888    -0.0928148811    -0.1402942031    -0.1402942031    -0.0457706464    -0.0492392264    -0.0921833135    -0.0341758320    -0.0691859715
    4.6130653266    -0.1284018477    -0.0155717514    -0.0849030423    -0.1284018477    -0.1284018477    -0.0418873818    -0.0443374762    -0.0825345024    -0.0312845597    -0.0632944981
    4.6331658292    -0.1170840888    -0.0142109493    -0.0773959818    -0.1170840888    -0.1170840888    -0.0382041826    -0.0396952453    -0.0733981399    -0.0285413561    -0.0577073369
    4.6532663317    -0.1063256520    -0.0129192956    -0.0702763442    -0.1063256520    -0.1063256520    -0.0347111806    -0.0353001840    -0.0647526255    -0.0259388777    -0.0524101294
    4.6733668342    -0.0961092383    -0.0116933728    -0.0635269169    -0.0961092383    -0.0961092383    -0.0313989310    -0.0313989310    -0.0565761757    -0.0234701181    -0.0473889620
