# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    3.7085427136    -1.2196040203    -0.5534868792    -1.0248302450    -1.2196040203    -1.2196040203    -0.6063588330    -0.7189870508    -1.0788959859    -0.5173851465    -0.7898801431
    3.7286432161    -1.1793433333    -0.5286972230    -0.9880692728    -1.1793433333    -1.1793433333    -0.5845736639    -0.6911481340    -1.0412216094    -0.4983838771    -0.7622871619
    3.7487437186    -1.1399935808    -0.5048622590    -0.9521894184    -1.1399935808    -1.1399935808    -0.5636050913    -0.6639064873    -1.0044572210    -0.4797815509    -0.7354058267
    3.7688442211    -1.1015503760    -0.4815129657    -0.9171819140    -1.1015503760    -1.1015503760    -0.5435444996    -0.6374073177    -0.9685798600    -0.4613951510    -0.7091791015
    3.7889447236    -1.0639925393    -0.4583340299    -0.8830492041    -1.0639925393    -1.0639925393    -0.5244988977    -0.6117570617    -0.9335700073    -0.4431028911    -0.6834217240
    3.8090452261    -1.0273131577    -0.4351275971    -0.8497646286    -1.0273131577    -1.0273131577    -0.5061620474    -0.5870305313    -0.8994281496    -0.4248305326    -0.6582509789
    3.8291457286    -0.9915088686    -0.4117842890    -0.8172856873    -0.9915088686    -0.9915088686    -0.4882786562    -0.5632780178    -0.8661506065    -0.4065402366    -0.6337795542
    3.8492462312    -0.9565496619    -0.3882601632    -0.7856216125    -0.9565496619    -0.9565496619    -0.4706658976    -0.5413804942    -0.8336833099    -0.3882215242    -0.6100903210
    3.8693467337    -0.9224274894    -0.3645390960    -0.7547841626    -0.9224274894    -0.9224274894    -0.4531984184    -0.5213667550    -0.8020235114    -0.3700691108    -0.5872416296
    3.8894472362    -0.8891447550    -0.3406434053    -0.7247569833    -0.8891447550    -0.8891447550    -0.4357959727    -0.5020103644    -0.7711822305    -0.3527605950    -0.5652717706
    3.9095477387    -0.8566831687    -0.3165925408    -0.6952860282    -0.8566831687    -0.8566831687    -0.4184132663    -0.4830482357    -0.7411714334    -0.3361129397    -0.5443179355
    3.9296482412    -0.8249969866    -0.2946133231    -0.6664669786    -0.8249969866    -0.8249969866    -0.4010316546    -0.4642969911    -0.7118423005    -0.3194850841    -0.5244000093
    3.9497487437    -0.7940933228    -0.2748701296    -0.6384566532    -0.7940933228    -0.7940933227    -0.3836523933    -0.4456357411    -0.6830798454    -0.3030300563    -0.5051646919
    3.9698492462    -0.7639830448    -0.2556990140    -0.6113690424    -0.7639830448    -0.7639830448    -0.3662911849    -0.4269919986    -0.6550552895    -0.2868713351    -0.4863455864
    3.9899497487    -0.7346743458    -0.2371989596    -0.5852833404    -0.7346743458    -0.7346743458    -0.3489722159    -0.4083302105    -0.6278973458    -0.2711036499    -0.4677551335
    4.0100502513    -0.7059500502    -0.2194372571    -0.5602700108    -0.7059500502    -0.7059500502    -0.3316307708    -0.3896424693    -0.6016975538    -0.2557980068    -0.4492678553
    4.0301507538    -0.6778100981    -0.2024560466    -0.5365793945    -0.6778100981    -0.6778100981    -0.3143558314    -0.3709410373    -0.5765173090    -0.2410059185    -0.4308066067
    4.0502512563    -0.6504103583    -0.1862776692    -0.5138429966    -0.6504103583    -0.6504103583    -0.2973063858    -0.3522520080    -0.5525087615    -0.2267629565    -0.4123313428
    4.0703517588    -0.6238658409    -0.1709090286    -0.4916246061    -0.6238658409    -0.6238658409    -0.2806053889    -0.3335091647    -0.5297208724    -0.2130917293    -0.3938299902
    4.0904522613    -0.5982581538    -0.1563451384    -0.4696197443    -0.5982581538    -0.5982581538    -0.2643460838    -0.3148044398    -0.5076833427    -0.2000043742    -0.3753110699
    4.1105527638    -0.5736417452    -0.1425719963    -0.4476267738    -0.5736417452    -0.5736417452    -0.2485973118    -0.2963306312    -0.4860386568    -0.1875046361    -0.3567977768
    4.1306532663    -0.5501948933    -0.1295689006    -0.4255234075    -0.5501948933    -0.5501948933    -0.2334079645    -0.2782357144    -0.4645418933    -0.1755895991    -0.3382551003
    4.1507537688    -0.5278856684    -0.1173103117    -0.4035598688    -0.5278856684    -0.5278856684    -0.2188107098    -0.2606309543    -0.4430356226    -0.1642511236    -0.3197021942
    4.1708542714    -0.5062633872    -0.1057673389    -0.3828175840    -0.5062633872    -0.5062633872    -0.2048251033    -0.2435976769    -0.4214295263    -0.1534770354    -0.3013336691
    4.1909547739    -0.4849987348    -0.0949089183    -0.3632297058    -0.4849987348    -0.4849987348    -0.1914601820    -0.2271929125    -0.3996839321    -0.1432521070    -0.2833030405
    4.2110552764    -0.4638654887    -0.0847027420    -0.3435936252    -0.4638654887    -0.4638654887    -0.1787166191    -0.2114540872    -0.3777965877    -0.1335588624    -0.2657267788
    4.2311557789    -0.4427178270    -0.0751159822    -0.3238758488    -0.4427178270    -0.4427178270    -0.1665885108    -0.1964029166    -0.3557905578    -0.1243782360    -0.2486910376
    4.2512562814    -0.4214718427    -0.0661158487    -0.3042912378    -0.4214718427    -0.4214718427    -0.1550648524    -0.1820486269    -0.3335742493    -0.1156901078    -0.2322572739
    4.2713567839    -0.4000905555    -0.0576700385    -0.2850254026    -0.4000905555    -0.4000905555    -0.1441307543    -0.1683906145    -0.3113161684    -0.1074737360    -0.2164669353
    4.2914572864    -0.3785718273    -0.0510969823    -0.2662192764    -0.3785718273    -0.3785718273    -0.1337684392    -0.1554206341    -0.2892968221    -0.0997081038    -0.2013453594
    4.3115577889    -0.3569382104    -0.0457698024    -0.2479773200    -0.3569382104    -0.3569382104    -0.1239580561    -0.1431245935    -0.2677289963    -0.0923721952    -0.1869050109
    4.3316582915    -0.3351037170    -0.0423472055    -0.2303743582    -0.3351037170    -0.3351037170    -0.1146783417    -0.1314840188    -0.2467705565    -0.0854452112    -0.1731481614
    4.3517587940    -0.3132101582    -0.0391177101    -0.2134612659    -0.3132101582    -0.3132101582    -0.1059071546    -0.1204772465    -0.2265350448    -0.0789067382    -0.1600691017
    4.3718592965    -0.2915289115    -0.0360707355    -0.1972696872    -0.2915289115    -0.2915289115    -0.0976219033    -0.1100803885    -0.2071004342    -0.0727368746    -0.1476559627
    4.3919597990    -0.2702671183    -0.0331962047    -0.1818159409    -0.2702671183    -0.2702671183    -0.0897998858    -0.1002681068    -0.1885163428    -0.0669163263    -0.1358922076
    4.4120603015    -0.2495796164    -0.0304845350    -0.1671042461    -0.2495796164    -0.2495796164    -0.0824185573    -0.0910142338    -0.1708099640    -0.0614264740    -0.1247578509
    4.4321608040    -0.2295788519    -0.0279266264    -0.1531293767    -0.2295788519    -0.2295788519    -0.0754557374    -0.0822922623    -0.1539909264    -0.0562494190    -0.1142304484
    4.4522613065    -0.2103430980    -0.0255138477    -0.1398788390    -0.2103430980    -0.2103430980    -0.0688897677    -0.0740757297    -0.1380552641    -0.0513680115    -0.1042858977
    4.4723618090    -0.1919232523    -0.0232380207    -0.1273346519    -0.1919232523    -0.1919232523    -0.0626996299    -0.0663385151    -0.1229886485    -0.0467658648    -0.0948990802
    4.4924623116    -0.1743484460    -0.0210914024    -0.1154747951    -0.1743484460    -0.1743484460    -0.0568650299    -0.0590550655    -0.1087690073    -0.0424273578    -0.0860443737
    4.5125628141    -0.1576306589    -0.0190666683    -0.1042743824    -0.1576306589    -0.1576306589    -0.0513664563    -0.0522016618    -0.0953686374    -0.0383376295    -0.0776960556
