E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
5.96E-06,5.96E-06,5.176827873,0.000821669,5.176827873,0.000821669,5.176827873,0.000821669,Au,5,5,5,5,5,5,5,5,2004--Zhou-X-W--Au,A15--beta-W
0.000152583,0.000152583,7.637924899,12.48412453,19.96847557,45.04310951,24.14197552,1.98352042,Co,10,10,10,10,0,0,0,0,2015--Purja-Pun-G-P--Ni-Al-Co,A7--alpha-As
0.142519477,0.142519477,9.101683179,1.293817835,7.283394391,0.103812708,7.236423988,0.059155501,CdTe2Zn,10,0,10,10,10,0,10,10,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
2.433677381,2.433677381,7.575032771,48.24791138,9.858183579,20.08192609,14.12644709,43.64321683,Rb,10,10,10,10,10,10,10,10,2003--Han-S--Rb,A4--C--dc
1.02E-05,1.02E-05,3.379294127,0.000510641,5.853109359,0.001117164,8.277545866,0.001487101,Fe,5,0,0,0,0,0,0,0,2013--Bonny-G--Fe-Ni-Cr,A7--alpha-As
8.85E-06,8.85E-06,2.5561915,0.000463963,4.427452923,0.000693721,12.52272716,0.002436937,Cu,5,0,0,0,0,0,0,0,1985--Foiles-S-M--Ni-Cu,A7--alpha-As
0.421099433,0.421099433,5.483963892,3.176679685,7.34897223,1.905747293,7.291360132,1.445078669,AlSCuS2SiS,10,10,10,10,10,10,10,10,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,L2_1--AlCu2Mn--heusler
1.29E-05,1.29E-05,4.698099404,0.001094946,4.698099404,0.001094946,4.698099404,0.001094946,P,5,5,5,5,5,5,5,5,2004--Ackland-G-J--Fe-P,A1--Cu--fcc
7.65E-06,7.65E-06,4.050002015,0.000955492,4.050002015,0.000955492,4.050002015,0.000955492,Al,5,5,5,5,5,5,5,5,2003--Zope-R-R--Al,A1--Cu--fcc
3.90E-06,3.90E-06,5.356213624,0.001253467,5.356213624,0.001253467,5.356213624,0.001253467,MgSSiS,10,10,10,10,10,10,10,10,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,B3--ZnS--cubic-zinc-blende
9.91E-06,9.91E-06,2.556821352,0.000557622,4.428544488,0.00096583,4.16371356,0.000999097,Cu,5,5,5,5,5,5,5,5,1985--Foiles-S-M--Ni-Cu,A3--Mg--hcp
1.01E-05,1.01E-05,2.87800351,0.00049053,4.984849732,0.000821571,14.09926928,0.004205325,Au,5,0,0,0,0,0,0,0,2005--Grochola-G--Au,A7--alpha-As
8.98E-06,8.98E-06,3.639086559,0.000930481,3.639086559,0.000930481,3.639086559,0.000930481,Cu,5,5,5,5,5,5,5,5,2008--Mendelev-M-I--Cu,A1--Cu--fcc
2.38E-13,2.38E-13,4.297165756,3.81E-09,7.442909417,6.61E-09,20.71746448,20.56424612,Ta,10,0,0,0,5,0,0,0,2013--Gao-H--AgTaO3,A7--alpha-As
