E_coh_std,E_coh_std_lammps,E_coh_std_refine,a_std,a_std_lammps,a_std_refine,b_std,b_std_lammps,b_std_refine,c_std,c_std_lammps,c_std_refine,composition,potential_id,prototype
0.0265129410691,0.0776594768293,0.0776594749381,0.496785727713,0.998249682677,0.998249755521,0.342337814024,1.02343304943,1.02343312189,0.28378150538,1.04092222448,1.04092229665,MoXe3,2013--Smirnova-D-E--U-Mo-Xe,L1_2--AuCu3
4.04248887147e-06,2.17947599955,2.1794759622,0.000929978139128,2.49811674725,2.49811667565,0.000929978139107,2.49811674725,2.49811667565,0.000929978139096,2.49811674725,2.49811667565,MoU2,2013--Smirnova-D-E--U-Mo-Xe,C1--CaF2--fluorite
2.05743410164e-05,0.10665273984,0.114938639889,0.00131728743399,0.33997223778,1.23087797942,0.00131704889701,0.33997228141,0.861626853406,0.00175871916213,0.73351960032,1.18155074512,HgSe,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L1_0--AuCu
5.91296061706e-06,1.83227999973e-06,1.84910999979e-06,0.000772009151977,1.53299999983e-06,1.55727000006e-06,0.000772009151975,1.53299999983e-06,1.55727000006e-06,0.000772009151976,1.53299999983e-06,1.55727000006e-06,HPd,2008--Zhou-X-W--Pd-H,B1--NaCl--rock-salt
0.110376159867,0.04897508071,0.04897516304,0.456794336397,0.20482931394,0.20482929794,0.458261535072,0.20478204067,0.20478202467,0.530441873202,0.23692656396,0.23692657996,Ni,2012--Mendelev-M-I--Ni,A2--W--bcc
5.49964733872e-06,1.36353000002e-06,1.37233999986e-06,0.000386103318076,2.88919999925e-07,1.47179999743e-07,0.00066875056388,4.4906000074e-07,7.51570000013e-07,0.00168607728257,2.57778999924e-06,2.62286999941e-06,Co,2015--Purja-Pun-G-P--Ni-Al-Co,A3'--alpha-La--double-hcp
2.6617076116e-06,2.81084857444,2.93500141362,0.000868444321389,2.89636513877,2.80345475415,0.000868444321389,2.89636513877,2.80345475415,0.000868444321389,2.89636513877,2.80345475415,Al2NbTi,1996--Farkas-D--Nb-Ti-Al,L2_1--AlCu2Mn--heusler
4.22236396348e-06,1.40973000029e-06,1.42920000012e-06,0.000949585253998,9.18499999614e-07,7.91109999732e-07,0.000949585253998,9.18499999614e-07,7.91109999732e-07,0.000949585253998,9.18499999614e-07,7.91109999732e-07,AgTa2,2013--Gao-H--AgTaO3,C1--CaF2--fluorite
0.0452672074314,0.326054408805,0.326249751375,0.0767745212282,0.184059574926,0.18468141374,0.161896957916,0.407409693324,0.40824723459,0.0504705319715,0.371846859413,0.37262592833,S2SeZn,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
5.15036114492e-05,0.090709377093,0.150482864978,0.00525418381272,0.770135710424,0.787932023961,0.00525418381271,0.770135710424,0.787932023961,0.00525418381271,0.770135710424,0.787932023961,Xe,2013--Smirnova-D-E--U-Mo-Xe,Ah--alpha-Po--sc
1.13912564565e-05,3.29201519813,1.47644525077,0.000511550467759,3.80144467042,1.17471246719,0.000977894875821,6.58429793343,0.45520588419,0.00186572344998,7.1127284866,3.23719591968,Ni,1999--Mishin-Y--Ni,A7--alpha-As
8.66819021689e-06,4.54798422788,4.54851411981,0.00075837709275,1.66590922567,1.67176604211,0.00131354765594,2.88543946468,2.89558179682,0.00123842460657,2.68588626411,2.66691135173,Mn,2012--Schopf-D--Al-Mn-Pd,A3--Mg--hcp
3.25934881204e-06,1.52368999995e-06,1.40053000042e-06,0.000858643532451,2.24139999894e-07,2.25950000043e-07,0.000858643532451,2.24139999894e-07,2.25950000043e-07,0.000858643532451,2.24139999894e-07,2.25950000043e-07,AgO2,2013--Gao-H--AgTaO3,C1--CaF2--fluorite
2.25790934719e-05,0.695709064407,0.605135271292,0.00212169424252,0.681513968455,1.33940359022,0.002121694259,0.681513968894,1.33940358979,0.00300064926115,0.878500623433,0.416315018484,CFe,2008--Hepburn-D-J--Fe-C,L1_0--AuCu
4.56869766464e-06,0.18583011297,0.184763202355,0.00155337831912,2.37844560822,2.31024239787,0.00155337831913,2.37844560822,2.31024239787,0.00155337831913,2.37844560822,2.31024239787,MoXe,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
0.0541712369268,0.900545705391,0.900622559386,0.235589924453,1.86702593515,1.86889050535,0.560782526366,3.27080608857,3.32462863867,36.5362955978,14.7105557778,14.7605134039,Mg,2009--Mendelev-M-I--Al-Mg,A3'--alpha-La--double-hcp
8.57942201478e-06,4.4852850646,1.06828740299,0.00130108761188,0.578963759313,0.432896793694,0.00130108761188,0.578963759313,0.432896793694,0.00130108761188,0.578963759313,0.432896793694,Pb,2003--Hoyt-J-J--Cu-Pb,A15--beta-W
1.77457766136e-05,0.713602902877,0.713602920489,0.00863690728745,2.7624859423,2.76248599471,0.00650680704249,2.76240013887,2.76240019128,0.00936719909982,2.76255032733,2.76255037975,Mg,2009--Mendelev-M-I--Al-Mg,A1--Cu--fcc
2.42167721632e-05,5.54534543854,5.54534540132,0.000171231641695,0.893221227231,0.893221250074,0.000171231641696,0.893221227231,0.893221250074,0.000171231641697,0.893221227231,0.893221250074,AlMn,2012--Schopf-D--Al-Mn-Pd,B2--CsCl
5.96471056171e-06,1.60185999976e-06,1.57947999968e-06,0.000821669006037,1.20601999942e-06,1.1961699995e-06,0.000821669006034,1.20601999942e-06,1.1961699995e-06,0.000821669006034,1.20601999942e-06,1.1961699995e-06,Au,2004--Zhou-X-W--Au,A15--beta-W
0.000152582599218,2.28592255852,,12.4841245268,3.12947879836,,45.0431095082,10.5369694099,,1.98352041993,10.5130832363,,Co,2015--Purja-Pun-G-P--Ni-Al-Co,A7--alpha-As
0.142519476898,0.200134280455,0.200242858935,1.29381783514,1.58323225033,1.58338813266,0.103812708418,0.234820945986,0.234900655248,0.0591555006757,0.28176317576,0.281871058318,CdTe2Zn,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
2.43367738104,0.160846302379,0.160901786764,48.2479113787,2.65920931407,2.65839373145,20.0819260865,0.991262650235,0.99594988296,43.6432168339,4.19082312729,4.19497722514,Rb,2003--Han-S--Rb,A4--C--dc
1.0171371163e-05,0.69411573754,,0.00051064068566,0.03823420644,,0.00111716380928,0.06622330762,,0.00148710096147,1.17224046769,,Fe,2013--Bonny-G--Fe-Ni-Cr,A7--alpha-As
8.84863772333e-06,0.7007383205,,0.000463963268395,0.81395549991,,0.00069372054176,1.40981307736,,0.00243693698911,3.239457159,,Cu,1985--Foiles-S-M--Ni-Cu,A7--alpha-As
0.421099432644,0.37155267955,0.37155262513,3.17667968468,1.2454367744,1.24543674327,1.9057472934,0.61957156353,0.61957159466,1.44507866892,0.56195946566,0.56195949679,AlSCuS2SiS,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,L2_1--AlCu2Mn--heusler
1.28513858373e-05,3.17005000006e-06,3.15810999996e-06,0.00109494550063,4.0415999969e-07,3.18039999669e-07,0.00109494550062,4.0415999969e-07,3.18039999669e-07,0.00109494550063,4.0415999969e-07,3.18039999669e-07,P,2004--Ackland-G-J--Fe-P,A1--Cu--fcc
7.64959320513e-06,2.02851999997e-06,2.05130000008e-06,0.000955491956059,2.01451000059e-06,2.04694000061e-06,0.00095549195606,2.01451000059e-06,2.04694000061e-06,0.000955491956058,2.01451000059e-06,2.04694000061e-06,Al,2003--Zope-R-R--Al,A1--Cu--fcc
3.90215186204e-06,1.19051999992e-06,1.18422999984e-06,0.00125346667936,4.29199999985e-08,1.41599999282e-07,0.00125346667936,4.29199999985e-08,1.41599999282e-07,0.00125346667936,4.29199999985e-08,1.41599999282e-07,MgSSiS,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,B3--ZnS--cubic-zinc-blende
9.90648601734e-06,2.11828999985e-06,2.14756000005e-06,0.00055762208591,7.18919999976e-07,1.12717e-06,0.000965829784221,1.15464999961e-06,5.72150000266e-07,0.000999097351979,1.22698999938e-06,1.39347999983e-06,Cu,1985--Foiles-S-M--Ni-Cu,A3--Mg--hcp
1.00660127773e-05,0.66473416675,,0.000490529829558,0.85487982315,,0.000821571498339,1.4806939342,,0.00420532513963,3.8169029503,,Au,2005--Grochola-G--Au,A7--alpha-As
8.98452162954e-06,3.16635999997e-06,3.17167999997e-06,0.000930480919046,7.7482000016e-07,8.98500000179e-07,0.000930480919044,7.7482000016e-07,8.98500000179e-07,0.000930480919045,7.7482000016e-07,8.98500000179e-07,Cu,2008--Mendelev-M-I--Cu,A1--Cu--fcc
2.38474680817e-13,3.278658069,0.73921097217,3.81376603826e-09,2.23494824472,0.304703289186,6.60563260047e-09,3.87104393995,0.527761578246,20.5642461155,7.20701509791,11.3508338778,Ta,2013--Gao-H--AgTaO3,A7--alpha-As
