calc_key,potential_LAMMPS_key,potential_LAMMPS_id,potential_key,potential_id,composition,prototype,family,method,transformed,E_coh,a,b,c,alpha,beta,gamma
638e37d1-1a48-4b3f-88ad-a9205b6378ad,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi2,C1--CaF2--fluorite,C1--CaF2--fluorite,static,FALSE,-3.464152388,5.510861602,5.510861602,5.510861602,90,90,90
8fb29b2d-d5b6-46d6-99b3-09a63c36bc19,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,A15--Cr3Si,A15--Cr3Si,static,FALSE,-4.066934931,4.521382304,4.521382304,4.521382304,90,90,90
d1dc0f00-e67d-4da3-8738-7ac9aa127186,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,D0_3--BiF3,D0_3--BiF3,box,FALSE,-4.142088464,5.648300215,5.648300215,5.648300215,90,90,90
b00ca3b6-128e-425a-bede-22d8aaaa3ae4,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,L1_2--AuCu3,L1_2--AuCu3,dynamic,FALSE,-4.18543626,3.557288094,3.557288094,3.557288094,90,90,90
fd25f369-a4ac-4c14-90ef-fcfd9f01a1da,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,oqmd-299961,oqmd-299961,dynamic,FALSE,-4.186154706,3.558271821,3.558271821,7.108668084,90,90,90
f98ce0ed-d7f7-4c7d-8371-9d0364603b20,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,oqmd-323840,oqmd-323840,dynamic,FALSE,-4.182012224,5.032899695,5.032899695,4.118572051,90,90,120
9e55be42-699b-4bcb-90bf-bea70e585ba7,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi3,oqmd-323840,oqmd-323840,box,FALSE,-4.181905895,5.031608312,5.031608312,4.118436623,90,90,120
e435c9dc-deb1-4382-8062-54bd42f74452,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A1--Cu--fcc,A1--Cu--fcc,dynamic,FALSE,-4.450000001,3.51999987,3.51999987,3.51999987,90,90,90
2a06c73d-f478-488e-98f9-252cfd56d664,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A15--beta-W,A15--beta-W,dynamic,FALSE,-4.322609552,4.475769549,4.475769549,4.475769549,90,90,90
434eb575-8af1-46ce-b2d8-c2d3a9bbc95d,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A2--W--bcc,A2--W--bcc,static,FALSE,-4.400896549,2.795467688,2.795467688,2.795467688,90,90,90
80c4573c-f1ea-4b4b-8b8e-eb7bd231a12e,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A3'--alpha-La--double-hcp,A3'--alpha-La--double-hcp,dynamic,FALSE,-4.447416277,2.489146492,2.489146492,8.11403185,90,90,120
9f1fbec3-79af-46ea-b8e7-ed1b6e2d491e,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A3--Mg--hcp,A3--Mg--hcp,dynamic,FALSE,-4.444914357,2.489282115,2.489282115,4.049420048,90,90,120
1901cc00-47af-487d-ac15-484551bd75c1,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A4--C--dc,A4--C--dc,static,FALSE,-3.045965606,5.372898306,5.372898306,5.372898306,90,90,90
ed5e2764-c516-4a76-b7e7-a595a606799c,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A5--beta-Sn,A5--beta-Sn,static,FALSE,-3.989032763,4.536732354,4.536732354,2.399874053,90,90,90
9a6e05d4-215b-4068-913d-7d40609b7d17,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A5--beta-Sn,A5--beta-Sn,box,FALSE,-3.988996747,4.538040924,4.538040924,2.395591901,90,90,90
ecbaf9af-fc54-4cf5-9a21-519bcaf14108,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,A7--alpha-As,A7--alpha-As,static,FALSE,-4.274135807,3.891321909,3.891321909,5.064717724,90,90,120
936bbbd8-9397-4e52-9b6c-ec594f5cc73c,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,Ah--alpha-Po--sc,Ah--alpha-Po--sc,box,FALSE,-3.804075211,2.360574322,2.360574322,2.360574322,90,90,90
1850bf6f-580d-47c0-ac81-973cddcbff63,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,mp-1014111,mp-1014111,static,FALSE,-3.89588939,2.484262868,2.484262868,13.55733903,89.10284677,88.86632229,60
764f26f8-92a3-4399-900a-a543c41627cd,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,mp-1094136,mp-1094136,static,FALSE,-3.670950778,2.426583923,4.141459943,15.01126438,90,90,90
ffe82961-cf5b-4339-9963-26219fb2b6c8,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,mp-1094136,mp-1094136,box,FALSE,-3.690239171,2.455868665,4.253511882,15.36418458,90,90,90
99065076-a045-45ad-b397-624d04b98852,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214728,oqmd-1214728,box,FALSE,-4.099473527,2.419357422,2.419357422,8.419000919,90,90,90
6ce94433-932c-45f4-9bfc-b617ce8361bf,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214817,oqmd-1214817,dynamic,FALSE,-4.348744756,8.6534338,8.6534338,8.6534338,90,90,90
4efeb4b0-0072-445c-a815-59f10554f7a5,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214817,oqmd-1214817,static,FALSE,-4.347345377,8.620574369,8.620574369,8.620574369,90,90,90
64292b3d-1d92-480c-ba58-b2a8208f7f7f,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214817,oqmd-1214817,box,FALSE,-4.348036016,8.652861002,8.652861002,8.652861002,90,90,90
779e90f8-239a-406d-bfed-f49276da51eb,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214906,oqmd-1214906,dynamic,FALSE,-4.359018025,6.08057909,6.08057909,6.08057909,90,90,90
e4f08140-8799-4ff3-93e7-cfaea813be97,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1214906,oqmd-1214906,static,FALSE,-4.35900447,6.07708159,6.07708159,6.07708159,90,90,90
81885d0f-69e2-4c34-a841-22158aa8cce5,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1215619,oqmd-1215619,static,FALSE,-3.987975689,4.507935173,4.507935173,2.392512416,90,90,90
5445f1af-da40-45e4-8dc9-ccf8d6792a9f,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1215886,oqmd-1215886,static,FALSE,-4.396576318,3.9079974,3.9079974,2.448738686,90,90,120
1f380bbd-37d6-4668-91d0-0afeda0b4ff8,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Ni,oqmd-1215975,oqmd-1215975,box,FALSE,-3.395727509,4.012567199,4.012567199,4.448217009,90,90,120
