potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
2014--Bonny-G--W-H-He-2--LAMMPS--ipr1,W,higher T,,,NA,NA,
2015--Borovikov-V--fictional-Cu-1--LAMMPS--ipr1,Cu,1348,3.69,1340,1347.738046,0.764866274,
2015--Borovikov-V--fictional-Cu-2--LAMMPS--ipr1,Cu,1361,3.7,1345,1354.432209,1.396777119,
2015--Borovikov-V--fictional-Cu-3--LAMMPS--ipr1,Cu,1355,3.69,1345,1357.008952,1.29371091,
2015--Borovikov-V--fictional-Cu-4--LAMMPS--ipr1,Cu,1354,3.7,1340,1353.593735,0.888088076,
2015--Borovikov-V--fictional-Cu-5--LAMMPS--ipr1,Cu,1351,3.7,1360,1351.461579,0.695795912,
2015--Borovikov-V--fictional-Cu-6--LAMMPS--ipr1,Cu,1353,3.7,1340,1355.004345,1.544186806,
2015--Borovikov-V--fictional-Cu-7--LAMMPS--ipr1,Cu,1357,3.7,1345,1355.179836,2.154727692,
2015--Mendelev-M-I--Al-Sm--LAMMPS--ipr1,Al,912,4.14,890,915.3709298,0.613592123,
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr1,Al,1042,4.13,1040,1041.702157,1.16259515,
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr1,Co,data,,,1895.09821,2.428979875,
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr2,Al,1041,4.13,1030,1042.212939,1.362500621,
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr2,Co,1893,,,1896.555154,1.490429223,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Al,1037,4.14,1040,1042.526181,1.184265097,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Co,1892,,,1891.29357,1.262337089,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Ni,1695,3.59,1630,1698.787154,1.362937734,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Al,1039,4.13,1030,1042.212939,1.362500621,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Co,data,,,1896.555154,1.490429223,
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Ni,data,3.59,1650,1696.261622,1.834539985,
