potential_LAMMPS_id,composition,a,Epot (eV/atom)
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,U,3.4546244301382902,-4.0333310796485495
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,Xe,4.663181425809303,-0.009623015106088002
2015--Borovikov-V--fictional-Cu-1--LAMMPS--ipr1,Cu,2.5691982772979975,-3.4227807261073497
2015--Borovikov-V--fictional-Cu-2--LAMMPS--ipr1,Cu,2.5689996618011675,-3.41186725374285
2015--Borovikov-V--fictional-Cu-5--LAMMPS--ipr1,Cu,2.566670113141119,-3.4108406685995
2015--Mendelev-M-I--Al-Sm--LAMMPS--ipr1,Al,2.8381984775192066,-3.886333053706451
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr1,Al,2.819111829269501,-3.3322137376151
2015--Purja-Pun-G-P--Al-Co--LAMMPS--ipr2,Al,2.8191118459950752,-3.33221373764965
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Al,2.819111875893253,-3.3322137375862497
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Ni,2.4818885123372807,-4.427868271379849
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Al,2.8191118459950752,-3.33221373764965
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Ni,2.4818885123372807,-4.427868271379849
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr1,Ni,2.4818885123372807,-4.427868271379849
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2,Ni,2.4818885123372807,-4.427868271379849
2015--Wilson-S-R--Na--LAMMPS--ipr1,Na,2.143545611133752,-8.3527230932815
2015--Wilson-S-R--Ni-Zr--LAMMPS--ipr1,Ni,2.485886371850026,-4.3533723901418
2016--Beland-L-K--Ni-Co--LAMMPS--ipr1,Co,2.5187408528033712,-4.38915488277515
2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1,Zr,3.2202993878793866,-6.469265893629
2016--Borovikov-V--fictional-Cu-33--LAMMPS--ipr1,Cu,2.568282655669339,-3.3909307929032
2016--Borovikov-V--fictional-Cu-34--LAMMPS--ipr1,Cu,2.5675111462116647,-3.39096921516965
2016--Mendelev-M-I--Ti-1--LAMMPS--ipr1,Ti,2.9465339948230937,-5.345522270576
2016--Mendelev-M-I--Ti-2--LAMMPS--ipr1,Ti,2.9486860596113016,-5.246503410922
2016--Mendelev-M-I--Ti-3--LAMMPS--ipr1,Ti,2.9506912723932013,-5.401655025678498
2016--Wilson-S-R--Mg--LAMMPS--ipr1,Mg,3.1852901866007017,-1.5321215922725497
2016--Wilson-S-R--fictional-W--LAMMPS--ipr1,W,2.6900011847968948,-8.7754964796185
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Nb,3.0761366682877087,-7.2039176352695
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Ni,2.4789144869198547,-4.862846525267449
2017--Bonny-G--W-Re--LAMMPS--ipr1,Re,2.760999918084986,-8.029999999525
2017--OBrien-C-J--Pt-Au--LAMMPS--ipr1,Au,2.9374870679459333,-3.034683986778749
2017--OBrien-C-J--Pt-Au--LAMMPS--ipr1,Pt,2.8550292009709595,-5.487992833433999
