,family,potential_LAMMPS_id,composition,num_melts,T_melt_mean,T_melt_std
56,A1--Cu--fcc,2000--Landa-A--Al-Pb--LAMMPS--ipr1,Pb,10,614.0126424879732,0.9713171355873647
57,A1--Cu--fcc,2000--Sturgeon-J-B--Al--LAMMPS--ipr1,Al,10,931.4965074410186,0.736283482085854
58,A1--Cu--fcc,2001--Mishin-Y--Cu-1--LAMMPS--ipr1,Cu,10,1323.2635386962581,1.4619921447528885
59,A1--Cu--fcc,2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,Al,10,1211.8820622745068,0.6407225458675858
60,A1--Cu--fcc,2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,Ni,10,1397.065257688757,1.3697198059526619
61,A1--Cu--fcc,2003--Han-S--V--LAMMPS--ipr1,V,0,,
62,A1--Cu--fcc,2003--Han-S--W--LAMMPS--ipr1,W,10,4679.500998595672,5.255017510185512
63,A1--Cu--fcc,2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Cu,10,1280.9279340909675,1.1714112293328809
64,A1--Cu--fcc,2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Pb,10,614.4642200539648,0.829366886013805
65,A1--Cu--fcc,2003--Li-Y-H--Ta--LAMMPS--ipr1,Ta,0,,
66,A1--Cu--fcc,2003--Mendelev-M-I--Fe-2--LAMMPS--ipr1,Fe,0,,
67,A1--Cu--fcc,2003--Mendelev-M-I--Fe-2--LAMMPS--ipr3,Fe,0,,
68,A1--Cu--fcc,2003--Mendelev-M-I--Fe-5--LAMMPS--ipr1,Fe,0,,
69,A1--Cu--fcc,2003--Zope-R-R--Al--LAMMPS--ipr1,Al,10,866.9129120816515,0.6786823722787512
70,A1--Cu--fcc,2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Al,10,868.3547277684623,0.9470847107823934
71,A1--Cu--fcc,2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Ti,10,1483.781430089775,0.9352528625772276
72,A1--Cu--fcc,2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,Fe,0,,
73,A1--Cu--fcc,2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,P,10,1289.722286815786,0.961366512295351
74,A1--Cu--fcc,2004--Liu-X-Y--Al--LAMMPS--ipr1,Al,10,883.1653277097582,0.8098697343167538
75,A1--Cu--fcc,2004--Mishin-Y--Ni-Al--LAMMPS--ipr1,Al,10,868.2678356233339,0.7582502619166779
